num_of_features, hidden_layer_size, momentum, mean_score, std_score
20,               20,                0.9,      0.66216654, 0.032306321
20,               30,                0.0,      0.69456763, 0.043082781
20,               30,                0.9,      0.68237448, 0.024964798
20,               40,                0.0,      0.70720572, 0.020065905
20,               40,                0.9,      0.71896871, 0.01758002
21,               20,                0.0,      0.65304706, 0.037999996
21,               20,                0.9,      0.67393989, 0.047857673
21,               30,                0.0,      0.72185119, 0.025124518
21,               30,                0.9,      0.69877113, 0.024914998
21,               40,                0.0,      0.72652377, 0.017923344
21,               40,                0.9,      0.72188125, 0.022722813
22,               20,                0.0,      0.67081646, 0.030913966
22,               20,                0.9,      0.66216063, 0.036327051
22,               30,                0.0,      0.70278542, 0.023971175
22,               30,                0.9,      0.71166642, 0.021102169
22,               40,                0.0,      0.71520079, 0.02231447
22,               40,                0.9,      0.72564031, 0.022702644
23,               20,                0.0,      0.67346144, 0.022293978
23,               20,                0.9,      0.68436216, 0.031117377
23,               30,                0.0,      0.71453363, 0.0363311
23,               30,                0.9,      0.72142597, 0.027415158
23,               40,                0.0,      0.73540774, 0.020824692
23,               40,                0.9,      0.73253363, 0.017119508
24,               20,                0.0,      0.68945602, 0.019968474
24,               20,                0.9,      0.6805829, 0.034598015
24,               30,                0.0,      0.71186499, 0.02913859
24,               30,                0.9,      0.70078344, 0.031433754
24,               40,                0.0,      0.72874008, 0.023219419
24,               40,                0.9,      0.72651688, 0.020593248
25,               20,                0.0,      0.65657009, 0.066647307
25,               20,                0.9,      0.69436955, 0.047649234
25,               30,                0.0,      0.71896773, 0.023572688
25,               30,                0.9,      0.70943631, 0.026524691
25,               40,                0.0,      0.72230155, 0.02560673
25,               40,                0.9,      0.73051786, 0.020860096
26,               20,                0.0,      0.67216605, 0.072842869
26,               20,                0.9,      0.70166396, 0.01568271
26,               30,                0.0,      0.71632619, 0.014154877
26,               30,                0.9,      0.72607095, 0.020862288
26,               40,                0.0,      0.73339837, 0.018361761
26,               40,                0.9,      0.72298251, 0.028240238
27,               20,                0.0,      0.67901749, 0.040300798
27,               20,                0.9,      0.6787997, 0.041716355
27,               30,                0.0,      0.716983, 0.026317491
27,               30,                0.9,      0.7211796, 0.022480931
27,               40,                0.0,      0.74073565, 0.018610399
27,               40,                0.9,      0.72851343, 0.023060044
28,               20,                0.0,      0.70167726, 0.023778784
28,               20,                0.9,      0.69788027, 0.020768912
28,               30,                0.0,      0.71720276, 0.02273421
28,               30,                0.9,      0.7169761, 0.029126507
28,               40,                0.0,      0.73118009, 0.016860742
28,               40,                0.9,      0.73383395, 0.02661555
29,               20,                0.0,      0.68013895, 0.030704049
29,               20,                0.9,      0.63863957, 0.080690805
29,               30,                0.0,      0.71630746, 0.024638433
29,               30,                0.9,      0.70523282, 0.03141788
29,               40,                0.0,      0.72585415, 0.014607708
29,               40,                0.9,      0.72451491, 0.029247987
30,               20,                0.0,      0.65235033, 0.061220538
