num_of_features,hidden_layer_size,momentum,mean_score,std_score
8,80,0.0,0.70277063,0.012558445
8,80,0.9,0.68168219,0.014257082
8,90,0.0,0.69478443,0.012339025
8,90,0.9,0.68323774,0.017171027
8,100,0.0,0.6945696,0.016455688
8,100,0.9,0.68611628,0.024710877
9,20,0.0,0.64683863,0.019627941
9,20,0.9,0.63929786,0.022366487
9,30,0.0,0.6539458,0.022867673
9,30,0.9,0.66438039,0.020601274
9,40,0.0,0.67592264,0.026724236
9,40,0.9,0.67348066,0.01882647
9,50,0.0,0.67368859,0.016371368
9,50,0.9,0.67812959,0.014346009
9,60,0.0,0.67635772,0.018328464
9,60,0.9,0.68656566,0.011828349
9,70,0.0,0.68901798,0.01130162
9,70,0.9,0.68212663,0.011970249
9,80,0.0,0.68590342,0.02320961
9,80,0.9,0.69012121,0.010540803
9,90,0.0,0.67057699,0.019888281
9,90,0.9,0.69034393,0.021293058
9,100,0.0,0.70165657,0.015356158
9,100,0.9,0.67569943,0.031135559
10,20,0.0,0.645729,0.02402414
10,20,0.9,0.64329096,0.027339825
10,30,0.0,0.66793102,0.021973287
10,30,0.9,0.65638088,0.017488891
10,40,0.0,0.67657945,0.023050515
10,40,0.9,0.68725548,0.023444039
10,50,0.0,0.69278837,0.018606861
10,50,0.9,0.68102636,0.018853678
10,60,0.0,0.68789899,0.018236055
10,60,0.9,0.69189899,0.016121658
10,70,0.0,0.685017,0.013063547
10,70,0.9,0.68723183,0.020799815
10,80,0.0,0.69988174,0.016558257
10,80,0.9,0.69057255,0.011450899
10,90,0.0,0.70032225,0.024289992
10,90,0.9,0.68433654,0.020988326
10,100,0.0,0.69389998,0.01651101
10,100,0.9,0.69966839,0.013350251
11,20,0.0,0.60313821,0.048606545
11,20,0.9,0.64128751,0.026942106
11,30,0.0,0.65461936,0.029743628
11,30,0.9,0.66636216,0.033459446
11,40,0.0,0.67636856,0.026131103
11,40,0.9,0.67636117,0.018892404
11,50,0.0,0.68723331,0.017459991
11,50,0.9,0.68969106,0.021413085
11,60,0.0,0.69101355,0.021745735
11,60,0.9,0.69855285,0.017826785
11,70,0.0,0.70499581,0.012381194
11,70,0.9,0.69011333,0.023499362
11,80,0.0,0.70432717,0.010857872
11,80,0.9,0.69522296,0.024185786
11,90,0.0,0.70565558,0.013543964
11,90,0.9,0.70589061,0.012490139
11,100,0.0,0.71231732,0.0071965766
11,100,0.9,0.70365312,0.016314907
12,20,0.0,0.61025868,0.11833826
12,20,0.9,0.64416704,0.044647435
12,30,0.0,0.68122937,0.026966772
12,30,0.9,0.67036462,0.017534359
12,40,0.0,0.68679379,0.024727704
12,40,0.9,0.68945405,0.016914397
12,50,0.0,0.69567233,0.021056732
12,50,0.9,0.68701207,0.024378993
12,60,0.0,0.69833801,0.017516308
12,60,0.9,0.70344962,0.016270883
12,70,0.0,0.69322395,0.023702243
12,70,0.9,0.70167135,0.020453831
12,80,0.0,0.70833506,0.014093747
12,80,0.9,0.69190835,0.011494877
12,90,0.0,0.70076915,0.011928657
12,90,0.9,0.69611826,0.028932758
12,100,0.0,0.70012565,0.021362287
